Timestamp,Value
2023-04-13 14:18:55,test,26.14373
2023-04-13 14:18:55,test,0
2023-04-13 14:19:15,test,34.86852
2023-04-13 14:19:15,test,0
2023-04-13 14:19:35,test,51.65766
2023-04-13 14:19:35,test,0
2023-04-13 14:19:55,test,56.58639
2023-04-13 14:19:55,test,0
2023-04-13 14:20:15,test,102.2044
2023-04-13 14:20:15,test,0
2023-04-13 14:20:35,test,11.07458
2023-04-13 14:20:35,test,0
2023-04-13 14:20:55,test,0.1647956
2023-04-13 14:20:55,test,0
2023-04-13 14:21:15,test,0.1565428
2023-04-13 14:21:15,test,0
2023-04-13 14:22:07,test,24.14246
2023-04-13 14:22:07,test,0
2023-04-13 14:23:51,test,24.9401
2023-04-13 14:23:51,test,0
2023-04-13 14:24:11,test,30.61824
2023-04-13 14:24:11,test,0
2023-04-13 14:25:17,test,24.12266
2023-04-13 14:25:17,test,0
2023-04-13 14:25:37,test,68.18869
2023-04-13 14:25:37,test,2
2023-04-13 14:25:57,test,21.20353
2023-04-13 14:25:57,test,2
